Percentage,Number,Location,ID
7,"146,640",כורזים,"1,252"
7,"146,640",יאנוח-ג'ת,1295
7,"146,640",ראמה,543
7,"146,640",יחיעם,409
7,"146,640",יסעור,575
7,"146,640",יעד,1138
7,"146,640",קלע,4024
7,"146,640",קלחים,414
7,"146,640",קורנית,1179
7,"146,640",קדרים,1211
7,"146,640",קדמת צבי,4025
7,"146,640",כחל,"1,210"
7,"146,640",ראש פינה,26
7,"146,640",כישור,"1,153"
7,"146,640",כליל,"1,183"
7,"146,640",צורית,1221
7,"146,640",כמון,"1,201"
7,"146,640",כנף,"4,028"
7,"146,640",צביה,1180
7,"146,640",כפר הנשיא,443
7,"146,640",כפר יאסיף,507
7,"146,640",כפר מסריק,297
7,"146,640",פעמי תש&quot;ז,2059
7,"146,640",טנא,3743
7,"146,640",טללים,1177
7,"146,640",גשור,4022
7,"146,640",חד-נס,4026
7,"146,640",דבירה,849
7,"146,640",שבי ציון,282
7,"146,640",רתמים,"1,260"
7,"146,640",רקפת,"1,228"
7,"146,640",רנן,789
7,"146,640",רמת טראמפ,"4,701"
7,"146,640",הר עמשא,1261
7,"146,640",הררית,1203
7,"146,640",זרועה,2064
7,"146,640",חגי,3764
7,"146,640",חולתה,253
7,"146,640",טל-אל,1181
7,"146,640",רמות,"4,702"
7,"146,640",חוקוק,374
7,"146,640",חלוץ,1272
7,"146,640",חלץ,820
7,"146,640",רוחמה,362
7,"146,640",רוח מדבר,1341
7,"146,640",חצרים,397
7,"146,640",חרשים,1209
7,"146,640",רגבה,390
7,"146,640",רביד,"1,225"
7,"146,640",כרכום,1285
7,"146,640",כרמי קטיף,1374
7,"146,640",כרמיאל,1139
7,"146,640",עין המפרץ,289
7,"146,640",עמקה,708
7,"146,640",מסלול,748
7,"146,640",מעגלים,1082
7,"146,640",עמיעד,385
7,"146,640",עיר אובות,1187
7,"146,640",מעלה גמלא,4008
7,"146,640",מצפה שלם,3610
7,"146,640",משמר הירדן,732
7,"146,640",משמר הנגב,395
7,"146,640",נאות גולן,4551
7,"146,640",נבטים,396
7,"146,640",כרמים,1198
7,"146,640",נגוהות,3724
7,"146,640",עין גדי,"2,042"
7,"146,640",נווה זוהר,1057
7,"146,640",נועם,15
7,"146,640",סנסנה,3777
7,"146,640",נטע,1369
7,"146,640",ניר משה,2047
7,"146,640",ניר עקיבא,2048
7,"146,640",נס עמים,1143
7,"146,640",נתיב השיירה,792
7,"146,640",מנוף,1174
7,"146,640",מלילות,2044
7,"146,640",מכמנים,1202
7,"146,640",עצמון שגב,917
7,"146,640",כרמל,3656
7,"146,640",לבון,1207
7,"146,640",פלך,1185
7,"146,640",להב,2023
7,"146,640",להבות הבשן,380
7,"146,640",לוחמי הגיטאות,595
7,"146,640",לוטם,1171
7,"146,640",פטיש,749
7,"146,640",פורייה עילית,1313
7,"146,640",לפידות,1173
7,"146,640",פורייה – נווה עובד,1105
7,"146,640",מבועים,1080
7,"146,640",פורייה – כפר עבודה,1104
7,"146,640",פדויים,750
7,"146,640",מגדל,65
7,"146,640",מדרשת בן גוריון,1140
7,"146,640",מורן,1163
7,"146,640",מחנה טלי,1418
7,"146,640",מחנה יפה,1415
7,"146,640",מחנה יתיר,1196
7,"146,640",מחניים,308
7,"146,640",שדה דוד,36
7,"146,640",יובלים,1226
7,"146,640",בוסתן הגליל,559
7,"146,640",איתן,37
7,"146,640",תלמי ביל&quot;ו,2050
7,"146,640",שיזף,1378
7,"146,640",שרשרת,398
7,"146,640",בית הגדי,723
7,"146,640",שיבולים,865
7,"146,640",בית העמק,572
7,"146,640",שורשים,1235
7,"146,640",תאשור,2062
7,"146,640",בית קמה,598
7,"146,640",אחוזם,821
7,"146,640",שעל,4009
7,"146,640",אבן שמואל,400
7,"146,640",תובל,1172
7,"146,640",איילת השחר,77
7,"146,640",שובל,394
7,"146,640",בני דקלים,1368
7,"146,640",בני יהודה,1363
7,"146,640",אחיהוד,785
7,"146,640",בטחה,762
7,"146,640",שכניה,1160
7,"146,640",שקף,1233
7,"146,640",אליאב,1365
7,"146,640",אמנון,"1,253"
7,"146,640",אמציה,23
7,"146,640",אניעם,"4,012"
7,"146,640",אדורה,"3,759"
7,"146,640",שני,1287
7,"146,640",שמרת,432
7,"146,640",אשבול,71
7,"146,640",אשבל,1276
7,"146,640",אשחר,1188
7,"146,640",אשכולות,3722
7,"146,640",אשל הנשיא,2021
7,"146,640",אלמגור,"1,125"
7,"146,640",אשלים,1152
7,"146,640",אשרת,1256
7,"146,640",אליפלט,730
7,"146,640",שלווה במדבר,1373
7,"146,640",שלווה,873
7,"146,640",ברוש,2060
7,"146,640",תדהר,2061
7,"146,640",תלמים,814
7,"146,640",אורים,403
7,"146,640",גבעולים,2014
7,"146,640",גילת,736
7,"146,640",גבולות,352
7,"146,640",גינוסר,262
7,"146,640",גילון,1204
7,"146,640",גבעת יואב,4021
7,"146,640",גבעות בר,1344
7,"146,640",גדות,35
7,"146,640",שדה צבי,2049
7,"146,640",גיתה,1206
7,"146,640",גונן,852
7,"146,640",ג'ולס,485
20,"267,840",מגן,695
20,"267,840",שדה ניצן,1058
20,"267,840",נווה,1366
20,"267,840",תושייה,1083
20,"267,840",פרי גן,1231
20,"267,840",עין הבשור,"1,240"
20,"267,840",צוחר,1136
20,"267,840",רעים,713
20,"267,840",כפר מימון,1095
20,"267,840",דקל,1241
20,"267,840",אור הנר,67
20,"267,840",כפר עזה,845
20,"259,920",מג'דל שמס,4201
20,"267,840",תקומה,665
20,"267,840",נתיב העשרה,1242
20,"267,840",דורות,336
20,"267,840",אבשלום,"1,311"
20,"267,840",ארז,714
20,"267,840",סופה,1238
20,"267,840",עין השלושה,676
20,"267,840",שלומית,1364
20,"267,840",כרמייה,768
20,"259,920",שלומי,812
20,"267,840",מפלסים,668
20,"267,840",כרם שלום,1085
20,"267,840",מבטחים,829
20,"267,840",מבקיעים,573
